date,value,cash,holdings_value
2024-10-02 00:00:00-04:00,1118086.298020188,-52.74608277617763,1118139.0441029642
2024-10-03 00:00:00-04:00,1103498.6565285302,-79.02048589359781,1103577.6770144238
2024-10-04 00:00:00-04:00,1118254.2922679351,-105.64622203655205,1118359.9384899717
2024-10-07 00:00:00-04:00,1127792.1829092584,-132.49905622091973,1127924.6819654794
2024-10-08 00:00:00-04:00,1089298.7489910545,-158.43535825170747,1089457.1843493062
2024-10-09 00:00:00-04:00,1082495.2675348541,-184.20966877183542,1082679.477203626
2024-10-10 00:00:00-04:00,1083630.330775681,-210.01100525069637,1083840.3417809317
2024-10-11 00:00:00-04:00,1091869.6410071743,-236.00852045361012,1092105.649527628
2024-10-14 00:00:00-04:00,1086353.1140542522,-261.87468664933505,1086614.9887409015
2024-10-15 00:00:00-04:00,1065405.0130809995,-287.24207666054957,1065692.25515766
2024-10-16 00:00:00-04:00,1075888.459180538,-312.85907847441507,1076201.3182590124
2024-10-17 00:00:00-04:00,1067370.9496333376,-338.27327761328354,1067709.222910951
2024-10-18 00:00:00-04:00,1081319.6913513876,-364.01959755783906,1081683.7109489455
2024-10-21 00:00:00-04:00,1073914.0221694652,-389.58958784735705,1074303.6117573127
2024-10-22 00:00:00-04:00,1074032.6409550079,-415.16240246091945,1074447.8033574687
2024-10-23 00:00:00-04:00,1069146.2539071264,-440.61887175559616,1069586.872778882
2024-10-24 00:00:00-04:00,1067997.507639774,-466.047989297437,1068463.5556290713
2024-10-25 00:00:00-04:00,1067698.2812261393,-491.4699822312245,1068189.7512083706
2024-10-28 00:00:00-04:00,1074600.012918241,-517.0563060227015,1075117.0692242638
2024-10-29 00:00:00-04:00,1069880.8095593392,-542.5302651540936,1070423.3398244933
2024-10-30 00:00:00-04:00,1063143.2205917214,-567.8438016809566,1063711.0643934023
2024-10-31 00:00:00-04:00,1056536.1810763294,-593.000023997591,1057129.181100327
2024-11-01 00:00:00-04:00,1055541.1571795298,-25.132530707375686,1055566.2897102372
2024-11-04 00:00:00-05:00,1050739.6071249158,-50.15073607238237,1050789.7578609881
2024-11-05 00:00:00-05:00,1055335.3553964375,-75.27836662064394,1055410.633763058
2024-11-06 00:00:00-05:00,1059315.7444689337,-100.50077059380838,1059416.2452395274
2024-11-07 00:00:00-05:00,1074365.1653731135,-126.08150264393133,1074491.2468757574
2024-11-08 00:00:00-05:00,1071100.5884575127,-151.58450482154302,1071252.1729623342
2024-11-11 00:00:00-05:00,1069960.2720818615,-177.06035596280498,1070137.3324378242
2024-11-12 00:00:00-05:00,1063908.2286414825,-202.39210740073167,1064110.6207488833
2024-11-13 00:00:00-05:00,1060094.1329055098,-227.63304487318362,1060321.765950383
2024-11-14 00:00:00-05:00,1054016.642816552,-252.7292767552892,1054269.3720933073
2024-11-15 00:00:00-05:00,1044692.0889139385,-277.60349016308317,1044969.6924041016
2024-11-18 00:00:00-05:00,1049464.4034856607,-302.5913328137572,1049766.9948184744
