config,window,risk_aversion,axioma_penalty,shrinkage_strength,n_resample,cagr,log_cagr,vol,sharpe,sortino,max_dd
mvo_r2.00_a0.010_s0.50_n0,5y,2.0,0.01,0.5,0,0.1282188399451456,0.12113439809315733,0.18774179102132837,0.5264959449084744,0.6992574910201584,-0.19804105224051882
mvo_r2.00_a0.010_s0.50_n0,3y,2.0,0.01,0.5,0,0.17207025361596018,0.15971930406028823,0.15872107783833594,0.834134797068444,1.087411139282824,-0.1260131988270069
mvo_r2.00_a0.010_s0.80_n0,full,2.0,0.01,0.8,0,0.11962273031486603,0.11322427560521378,0.20378640791823555,0.4621364141577088,0.5531745875977551,-0.3860368243446254
mvo_r2.00_a0.010_s0.80_n0,5y,2.0,0.01,0.8,0,0.13199636813678373,0.12449072279974734,0.1776033206169335,0.564997995924099,0.7550531628524967,-0.15221292160615763
mvo_r2.00_a0.010_s0.80_n0,3y,2.0,0.01,0.8,0,0.17617177888463664,0.1632334311970733,0.15809758441300106,0.8590450962664737,1.1176980638189684,-0.12601319882700668
mvo_r2.00_a0.050_s0.20_n0,full,2.0,0.05,0.2,0,0.12003800061483894,0.11359587186577104,0.20507804345305716,0.46232715657304,0.5536416855580295,-0.3857812161584928
mvo_r2.00_a0.050_s0.20_n0,5y,2.0,0.05,0.2,0,0.13105714545401015,0.12365727305505358,0.17985131314539302,0.5555487957363092,0.7382980636022876,-0.16564793169871694
mvo_r2.00_a0.050_s0.20_n0,3y,2.0,0.05,0.2,0,0.17761518874496507,0.1644672093117883,0.1573450243212265,0.870245381128664,1.1320963889516593,-0.12569506864991653
mvo_r2.00_a0.050_s0.50_n0,full,2.0,0.05,0.5,0,0.11519757254634455,0.10925593069288753,0.1987526604031632,0.44875210517619357,0.5320431678133067,-0.3842541191102632
mvo_r2.00_a0.050_s0.50_n0,5y,2.0,0.05,0.5,0,0.14396366418416506,0.13505016677115347,0.16783189023775738,0.6507200189553136,0.8769173329527402,-0.13970794356258864
mvo_r2.00_a0.050_s0.50_n0,3y,2.0,0.05,0.5,0,0.18725590945784543,0.17266919350409363,0.14979876899801733,0.9610400236964318,1.2884281682884473,-0.12544551967730921
mvo_r2.00_a0.050_s0.80_n0,full,2.0,0.05,0.8,0,0.11077833388464886,0.10527714762231456,0.18271870083525804,0.44931483274363754,0.5380370139135716,-0.3496262871999023
mvo_r2.00_a0.050_s0.80_n0,5y,2.0,0.05,0.8,0,0.12602684283788013,0.11918165769462842,0.1582291363035525,0.5799662850934825,0.766962371201518,-0.12965576913993504
mvo_r2.00_a0.050_s0.80_n0,3y,2.0,0.05,0.8,0,0.18779370876835833,0.1731247707821003,0.14581692667750681,0.9863685834993817,1.3056356876276989,-0.12544551967730921
mvo_r2.00_a0.100_s0.20_n0,full,2.0,0.1,0.2,0,0.11822033538606092,0.11196835132664876,0.19613806360910152,0.46590227320570554,0.5538910157825939,-0.38410758072715534
mvo_r2.00_a0.100_s0.20_n0,5y,2.0,0.1,0.2,0,0.14660328386313548,0.1373643844349616,0.16591325739186374,0.670265416982424,0.9025567751876702,-0.13931768344860673
mvo_r2.00_a0.100_s0.20_n0,3y,2.0,0.1,0.2,0,0.18964493872714283,0.17469139787701776,0.1488488203805344,0.9798125845606845,1.3130148461895073,-0.12544551967730933
mvo_r2.00_a0.100_s0.50_n0,full,2.0,0.1,0.5,0,0.1153421238243213,0.10938580841806464,0.18657893193349426,0.46589439870334504,0.5611618975901618,-0.35002961034589297
mvo_r2.00_a0.100_s0.50_n0,5y,2.0,0.1,0.5,0,0.13451208967904282,0.1267197278225974,0.16235974914093343,0.6157466774541134,0.8224287990278001,-0.13677312402877229
mvo_r2.00_a0.100_s0.50_n0,3y,2.0,0.1,0.5,0,0.1882129365553351,0.1734797614269145,0.14739082650456617,0.9797962431436167,1.3119974493990882,-0.12544551967730955
mvo_r2.00_a0.100_s0.80_n0,full,2.0,0.1,0.8,0,0.10979934150286819,0.10439358758502708,0.17671233739775136,0.4535252246408464,0.5332262350502783,-0.3480915821450459
mvo_r2.00_a0.100_s0.80_n0,5y,2.0,0.1,0.8,0,0.09400896186428942,0.0902170023539041,0.15682178689125317,0.39922093214286486,0.49918880567320395,-0.20018395643873954
mvo_r2.00_a0.100_s0.80_n0,3y,2.0,0.1,0.8,0,0.1677499655701411,0.15600442053680663,0.1410200736463027,0.8935432236589046,1.1821187982385626,-0.12716421951169687
mvo_r3.00_a0.001_s0.20_n0,full,3.0,0.001,0.2,0,0.1320507912815394,0.12428605666069605,0.20858227314240527,0.5092851672344102,0.6138283884362786,-0.38636766231620256
mvo_r3.00_a0.001_s0.20_n0,5y,3.0,0.001,0.2,0,0.1344957441872805,0.12670526118374145,0.18517403504033272,0.5613016866666972,0.7432725936984914,-0.19803602336465875
