label,window,w_momentum,w_quality,w_volatility,sharpe,sortino,cagr,volatility,max_drawdown,hit_rate_monthly,turnover_avg
grid,3yr,0.3,0.1,0.6,0.5785101198527789,0.6507713919445625,0.07741226117624511,0.06408174249721543,-0.0800498772808228,0.7027027027027027,0.5321201681725433
grid,full,0.3,0.2,0.5,0.09928756897647976,0.11527705408174253,0.0453095322543311,0.07034329417244038,-0.1063615485223206,0.6170212765957447,0.4816959555328165
grid,3yr,0.3,0.2,0.5,0.6740551483199323,0.7629578009109653,0.08975010127281058,0.07289314282366095,-0.08941948456228532,0.7027027027027027,0.5126871114931904
grid,full,0.3,0.3,0.4,0.21478736261532083,0.2554557979974671,0.054895917414490736,0.07776845479705967,-0.11359869644338527,0.5531914893617021,0.45664774334296115
grid,3yr,0.3,0.3,0.4,0.7944721245299273,0.9285158978274776,0.1057142595615479,0.08105556875595787,-0.09067107129840457,0.7027027027027027,0.4844871935331644
grid,full,0.3,0.4,0.3,0.3601428295490991,0.44365038520713085,0.06817470374388201,0.08227129103711484,-0.10777652239838564,0.5957446808510638,0.4479703979027587
grid,3yr,0.3,0.4,0.3,0.9188802158324305,1.125052592144959,0.1215193779048831,0.08608200999179384,-0.0917365914465127,0.7297297297297297,0.47565424193492123
grid,full,0.3,0.5,0.2,0.4788743105010828,0.6069513843933559,0.08056458363101959,0.08688051659329092,-0.09640255888511617,0.6595744680851063,0.4414037271354458
grid,3yr,0.3,0.5,0.2,0.9805714370571106,1.242024613126803,0.13253943871524765,0.09116180806434966,-0.09030947680813262,0.7567567567567568,0.46733759718839923
grid,full,0.3,0.6,0.1,0.6251161057769855,0.8130766866902567,0.10074923633735366,0.09793331644340111,-0.09963893861881667,0.6382978723404256,0.4553773298816399
grid,3yr,0.3,0.6,0.1,1.1268869132832637,1.4782606638463631,0.16197336934888784,0.10328721381961806,-0.09492023189704601,0.7297297297297297,0.48961837086453364
grid,full,0.3,0.7,0.0,0.07035183064107556,0.07535894553324762,0.033375602972907314,0.20531843510238382,-0.36802267640968056,0.5957446808510638,0.4583010576806796
grid,3yr,0.3,0.7,0.0,0.2538015386624274,0.2579232406077592,0.07258539652460416,0.20420530082438637,-0.36802267640968067,0.6756756756756757,0.49962679125549336
grid,full,0.4,0.0,0.6,0.4348919200370735,0.46397478216866095,0.06784287004407341,0.06439724592369529,-0.09207779933340676,0.7021276595744681,0.46736448378217876
grid,3yr,0.4,0.0,0.6,0.5879400105442013,0.6645631845742477,0.08249009416395814,0.07201793045617604,-0.09207779933340621,0.6756756756756757,0.5314363968815332
grid,full,0.4,0.1,0.5,0.2756291683899202,0.326149937123829,0.05961749258846494,0.07652783500609556,-0.09562227804862322,0.6382978723404256,0.47508996463706227
grid,3yr,0.4,0.1,0.5,0.701366441481125,0.8131765957245165,0.0980676079532119,0.08196359744108114,-0.09562227804862333,0.7027027027027027,0.5103764020334691
grid,full,0.4,0.2,0.4,0.2870874818561387,0.3465649944953729,0.06167153819139792,0.08167166321720713,-0.10705501288472441,0.574468085106383,0.46742899577465813
grid,3yr,0.4,0.2,0.4,0.8143691038533686,0.9722349699712148,0.11122242176631714,0.0856913300118521,-0.09329546966519864,0.7027027027027027,0.49892876709427125
